cancer_type,drug_type,phase,enrollment_size,trial_duration_months,sponsor_type,outcome
bladder,targeted_therapy,III,1691.0,107.0,academic,1
renal,hormone_therapy,III,1102.0,29.0,industry,1
renal,targeted_therapy,II,1748.0,40.0,industry,1
lung,radiation,II,1508.0,88.0,government,0
melanoma,chemotherapy,IV,1823.0,75.0,academic,0
pancreatic,radiation,II,279.0,45.0,government,0
ovarian,immunotherapy,II,1416.0,59.0,academic,1
renal,immunotherapy,III,114.0,114.0,government,1
bladder,hormone_therapy,II,1168.0,49.0,industry,1
breast,radiation,IV,60.0,67.0,academic,1
renal,hormone_therapy,III,1934.0,111.0,industry,1
breast,hormone_therapy,III,273.0,104.0,academic,1
leukemia,immunotherapy,III,26.0,73.0,industry,1
leukemia,hormone_therapy,I,1514.0,38.0,industry,0
melanoma,immunotherapy,II,747.0,82.0,government,0
colorectal,chemotherapy,II,1554.0,61.0,government,0
ovarian,radiation,II,1624.0,41.0,industry,0
lung,hormone_therapy,III,88.0,59.0,academic,0
melanoma,immunotherapy,IV,1124.0,112.0,industry,1
prostate,targeted_therapy,II,561.0,24.0,industry,1
lung,hormone_therapy,II,1628.0,48.0,academic,0
pancreatic,combination,IV,1305.0,17.0,industry,1
bladder,chemotherapy,II,108.0,16.0,government,0
prostate,chemotherapy,II,1958.0,75.0,industry,1
prostate,targeted_therapy,II,1251.0,17.0,academic,1
melanoma,immunotherapy,IV,232.0,96.0,academic,1
colorectal,hormone_therapy,III,853.0,46.0,industry,0
melanoma,immunotherapy,III,285.0,30.0,industry,1
pancreatic,chemotherapy,III,931.0,111.0,academic,0
renal,immunotherapy,II,312.0,8.0,academic,0
renal,chemotherapy,II,1250.0,8.0,industry,0
colorectal,immunotherapy,III,352.0,89.0,industry,1
pancreatic,targeted_therapy,II,1120.0,33.0,industry,1
colorectal,radiation,III,1331.0,28.0,industry,1
breast,targeted_therapy,IV,1024.0,53.0,industry,1
renal,targeted_therapy,III,66.0,72.0,industry,0
prostate,radiation,III,641.0,47.0,academic,1
ovarian,radiation,III,1243.0,93.0,academic,0
bladder,hormone_therapy,III,446.0,112.0,government,1
pancreatic,hormone_therapy,II,229.0,45.0,academic,0
lung,targeted_therapy,I,907.0,11.0,government,0
colorectal,targeted_therapy,II,1463.0,25.0,academic,0
bladder,chemotherapy,III,173.0,16.0,academic,0
lung,chemotherapy,II,1565.0,101.0,government,0
bladder,hormone_therapy,III,434.0,32.0,academic,1
ovarian,combination,II,1396.0,26.0,industry,0
lung,combination,III,1200.0,113.0,academic,1
melanoma,hormone_therapy,II,1304.0,117.0,government,0
leukemia,chemotherapy,III,1120.0,119.0,academic,1
melanoma,chemotherapy,III,788.0,18.0,academic,1
renal,combination,II,1002.0,91.0,academic,1
leukemia,immunotherapy,II,1531.0,40.0,government,1
melanoma,immunotherapy,III,1174.0,52.0,industry,1
leukemia,chemotherapy,II,598.0,91.0,academic,1
leukemia,immunotherapy,II,1498.0,33.0,industry,1
prostate,radiation,IV,759.0,26.0,academic,1
colorectal,hormone_therapy,III,182.0,115.0,academic,1
colorectal,hormone_therapy,IV,1058.0,23.0,industry,1
prostate,chemotherapy,II,1275.0,36.0,industry,1
bladder,targeted_therapy,II,214.0,65.0,academic,1
breast,combination,III,1904.0,115.0,industry,1
bladder,chemotherapy,III,561.0,42.0,industry,1
lung,immunotherapy,III,378.0,26.0,academic,1
lung,combination,II,869.0,19.0,industry,1
leukemia,targeted_therapy,II,1374.0,94.0,industry,1
melanoma,immunotherapy,I,446.0,96.0,government,1
melanoma,radiation,II,516.0,109.0,industry,0
colorectal,immunotherapy,I,847.0,65.0,industry,0
pancreatic,radiation,I,505.0,28.0,academic,0
bladder,combination,IV,1851.0,100.0,academic,1
renal,radiation,II,1492.0,116.0,government,1
ovarian,combination,III,1456.0,34.0,government,1
melanoma,combination,III,349.0,52.0,academic,1
ovarian,combination,III,1775.0,35.0,industry,1
leukemia,combination,II,908.0,95.0,industry,1
ovarian,combination,III,1010.0,89.0,industry,1
renal,immunotherapy,III,1190.0,43.0,industry,1
prostate,combination,III,278.0,88.0,academic,1
renal,immunotherapy,III,311.0,32.0,academic,1
ovarian,combination,IV,1854.0,94.0,industry,1
renal,radiation,III,162.0,109.0,academic,1
breast,combination,II,1980.0,107.0,industry,1
leukemia,targeted_therapy,III,766.0,92.0,industry,1
bladder,combination,I,646.0,98.0,academic,0
prostate,combination,III,1408.0,20.0,industry,1
melanoma,radiation,I,109.0,64.0,industry,0
lung,hormone_therapy,II,739.0,8.0,industry,1
bladder,radiation,III,1207.0,15.0,industry,1
lung,targeted_therapy,III,500.0,84.0,academic,1
leukemia,hormone_therapy,II,103.0,85.0,government,1
prostate,chemotherapy,II,1120.0,22.0,industry,0
colorectal,chemotherapy,III,692.0,88.0,industry,1
melanoma,targeted_therapy,II,536.0,16.0,academic,1
breast,radiation,III,504.0,53.0,government,1
colorectal,immunotherapy,I,1633.0,10.0,industry,0
leukemia,targeted_therapy,III,1646.0,74.0,industry,1
bladder,hormone_therapy,III,1642.0,69.0,academic,1
breast,hormone_therapy,II,801.0,19.0,academic,1
renal,combination,II,123.0,55.0,industry,0
ovarian,chemotherapy,II,1495.0,31.0,academic,1
breast,hormone_therapy,III,1530.0,77.0,industry,1
leukemia,targeted_therapy,III,358.0,74.0,industry,1
pancreatic,hormone_therapy,III,706.0,12.0,industry,0
ovarian,targeted_therapy,II,1609.0,21.0,government,0
lung,immunotherapy,II,919.0,60.0,industry,1
melanoma,combination,I,1521.0,83.0,industry,0
lung,chemotherapy,II,1766.0,106.0,industry,0
breast,hormone_therapy,III,626.0,61.0,government,1
lung,targeted_therapy,III,242.0,110.0,industry,1
leukemia,radiation,III,1052.0,9.0,industry,1
renal,chemotherapy,II,1096.0,105.0,industry,1
bladder,immunotherapy,IV,1120.0,53.0,academic,1
melanoma,targeted_therapy,III,1761.0,22.0,industry,1
lung,combination,IV,522.0,116.0,industry,1
lung,combination,III,1359.0,41.0,industry,0
breast,immunotherapy,II,1857.0,75.0,government,0
bladder,immunotherapy,I,841.0,85.0,academic,0
colorectal,combination,III,1885.0,98.0,academic,1
lung,hormone_therapy,I,643.0,105.0,government,0
leukemia,hormone_therapy,II,1906.0,43.0,government,1
pancreatic,targeted_therapy,III,184.0,106.0,industry,1
melanoma,radiation,III,1322.0,117.0,government,0
lung,targeted_therapy,III,1070.0,67.0,industry,1
leukemia,radiation,II,1113.0,53.0,industry,1
leukemia,immunotherapy,II,1261.0,15.0,government,1
melanoma,chemotherapy,III,1408.0,110.0,industry,0
colorectal,targeted_therapy,IV,1744.0,41.0,industry,1
leukemia,targeted_therapy,III,1888.0,34.0,industry,1
pancreatic,radiation,IV,1990.0,83.0,academic,0
leukemia,immunotherapy,III,1349.0,9.0,industry,1
leukemia,immunotherapy,III,1167.0,49.0,academic,1
leukemia,radiation,II,38.0,61.0,government,0
renal,immunotherapy,III,1300.0,47.0,academic,1
renal,combination,III,1339.0,105.0,industry,1
colorectal,hormone_therapy,III,1971.0,119.0,government,1
lung,combination,II,1065.0,114.0,industry,0
leukemia,chemotherapy,III,1923.0,18.0,industry,1
bladder,targeted_therapy,II,1008.0,51.0,industry,1
lung,chemotherapy,III,469.0,87.0,academic,0
colorectal,targeted_therapy,II,571.0,38.0,industry,1
prostate,hormone_therapy,III,1593.0,26.0,industry,1
lung,immunotherapy,II,1091.0,85.0,industry,1
lung,combination,I,714.0,84.0,industry,0
ovarian,radiation,II,606.0,62.0,academic,0
breast,combination,III,740.0,74.0,academic,1
ovarian,hormone_therapy,II,1226.0,75.0,academic,1
pancreatic,chemotherapy,II,1478.0,107.0,industry,0
renal,radiation,III,126.0,72.0,industry,0
renal,immunotherapy,II,1231.0,53.0,government,1
breast,hormone_therapy,IV,795.0,81.0,industry,1
melanoma,radiation,IV,1129.0,105.0,government,0
melanoma,hormone_therapy,III,1879.0,38.0,industry,1
colorectal,hormone_therapy,II,1886.0,41.0,government,1
breast,immunotherapy,III,1499.0,38.0,industry,1
lung,targeted_therapy,I,1180.0,36.0,industry,0
melanoma,radiation,II,1901.0,26.0,academic,0
leukemia,immunotherapy,II,917.0,32.0,academic,0
bladder,hormone_therapy,IV,355.0,96.0,industry,1
lung,immunotherapy,I,626.0,77.0,academic,0
pancreatic,targeted_therapy,III,857.0,106.0,academic,1
leukemia,combination,III,1800.0,67.0,industry,1
leukemia,radiation,II,1512.0,101.0,industry,1
breast,targeted_therapy,I,621.0,31.0,industry,1
colorectal,chemotherapy,IV,1614.0,71.0,industry,1
pancreatic,radiation,III,422.0,17.0,academic,0
melanoma,targeted_therapy,III,559.0,27.0,industry,1
breast,hormone_therapy,II,1115.0,22.0,industry,0
melanoma,radiation,II,1825.0,12.0,industry,0
breast,radiation,II,43.0,112.0,industry,0
breast,immunotherapy,I,643.0,73.0,industry,1
breast,hormone_therapy,I,1855.0,42.0,industry,1
colorectal,chemotherapy,III,1528.0,43.0,industry,1
breast,combination,II,1099.0,101.0,government,1
prostate,targeted_therapy,II,1005.0,16.0,industry,1
bladder,immunotherapy,III,242.0,6.0,academic,1
melanoma,targeted_therapy,III,1675.0,30.0,industry,1
lung,chemotherapy,I,198.0,47.0,industry,0
ovarian,chemotherapy,III,819.0,57.0,industry,1
pancreatic,radiation,I,453.0,29.0,industry,0
renal,chemotherapy,I,1980.0,58.0,government,0
colorectal,targeted_therapy,I,1493.0,112.0,government,1
lung,hormone_therapy,III,812.0,61.0,academic,0
leukemia,hormone_therapy,I,903.0,68.0,academic,0
prostate,radiation,I,511.0,86.0,industry,0
renal,combination,II,1232.0,13.0,industry,0
ovarian,targeted_therapy,III,1621.0,64.0,government,1
lung,targeted_therapy,II,829.0,50.0,academic,1
renal,chemotherapy,II,980.0,32.0,academic,1
lung,targeted_therapy,I,439.0,57.0,industry,1
prostate,immunotherapy,II,1292.0,23.0,industry,1
ovarian,combination,III,1631.0,96.0,government,1
leukemia,chemotherapy,III,668.0,91.0,industry,1
breast,immunotherapy,II,1207.0,21.0,industry,1
melanoma,radiation,II,1788.0,71.0,industry,1
leukemia,hormone_therapy,I,1298.0,10.0,academic,0
breast,radiation,II,495.0,87.0,industry,0
colorectal,hormone_therapy,I,1849.0,8.0,academic,1
bladder,radiation,III,1460.0,96.0,industry,1
pancreatic,targeted_therapy,IV,189.0,86.0,government,0
pancreatic,immunotherapy,IV,1360.0,85.0,academic,1
melanoma,hormone_therapy,III,193.0,75.0,industry,1
ovarian,chemotherapy,III,489.0,12.0,academic,1
prostate,immunotherapy,III,364.0,55.0,industry,1
ovarian,chemotherapy,II,464.0,19.0,industry,0
prostate,immunotherapy,III,1061.0,43.0,government,1
ovarian,immunotherapy,II,1113.0,109.0,industry,1
bladder,radiation,II,1381.0,84.0,industry,0
colorectal,hormone_therapy,III,647.0,116.0,industry,1
colorectal,hormone_therapy,II,611.0,52.0,industry,1
breast,immunotherapy,II,546.0,117.0,government,1
renal,targeted_therapy,IV,1731.0,38.0,industry,1
colorectal,targeted_therapy,I,475.0,48.0,government,0
colorectal,chemotherapy,II,1312.0,96.0,government,0
leukemia,chemotherapy,IV,1674.0,34.0,industry,1
leukemia,radiation,III,830.0,62.0,industry,1
breast,immunotherapy,III,207.0,106.0,government,1
renal,chemotherapy,II,1040.0,10.0,industry,0
melanoma,chemotherapy,II,1612.0,98.0,industry,1
leukemia,combination,III,730.0,101.0,industry,1
melanoma,immunotherapy,III,548.0,65.0,academic,1
lung,radiation,III,453.0,75.0,academic,0
leukemia,chemotherapy,I,307.0,7.0,industry,0
bladder,radiation,I,1961.0,75.0,industry,0
renal,hormone_therapy,IV,1610.0,115.0,government,1
breast,radiation,II,518.0,48.0,academic,1
lung,targeted_therapy,III,1484.0,9.0,academic,1
renal,targeted_therapy,I,1824.0,61.0,academic,1
bladder,radiation,III,322.0,98.0,industry,1
renal,targeted_therapy,IV,106.0,64.0,academic,1
bladder,hormone_therapy,III,849.0,94.0,industry,1
bladder,immunotherapy,I,457.0,14.0,industry,0
melanoma,targeted_therapy,III,560.0,8.0,academic,1
ovarian,targeted_therapy,III,1065.0,95.0,industry,1
lung,radiation,II,852.0,53.0,government,0
renal,hormone_therapy,III,816.0,48.0,industry,1
prostate,immunotherapy,III,579.0,96.0,government,1
lung,radiation,III,1560.0,105.0,government,1
ovarian,radiation,III,781.0,101.0,industry,1
lung,combination,I,1718.0,6.0,academic,0
colorectal,hormone_therapy,II,1546.0,62.0,industry,1
prostate,immunotherapy,II,1757.0,58.0,government,1
ovarian,hormone_therapy,IV,486.0,21.0,industry,1
melanoma,immunotherapy,III,1144.0,56.0,academic,1
renal,hormone_therapy,III,1626.0,117.0,industry,1
pancreatic,radiation,II,1985.0,80.0,industry,0
ovarian,radiation,II,694.0,95.0,industry,0
breast,chemotherapy,III,704.0,109.0,industry,1
renal,targeted_therapy,II,1184.0,60.0,academic,1
ovarian,combination,II,157.0,6.0,academic,0
colorectal,hormone_therapy,III,597.0,95.0,academic,1
pancreatic,combination,I,729.0,33.0,industry,0
colorectal,chemotherapy,II,1883.0,58.0,industry,0
pancreatic,targeted_therapy,II,247.0,63.0,industry,1
breast,hormone_therapy,I,300.0,78.0,academic,0
renal,immunotherapy,IV,703.0,65.0,government,0
melanoma,targeted_therapy,II,847.0,64.0,industry,1
colorectal,radiation,I,450.0,113.0,industry,0
colorectal,chemotherapy,II,1083.0,27.0,industry,1
bladder,targeted_therapy,III,1562.0,13.0,academic,1
pancreatic,targeted_therapy,II,1729.0,54.0,academic,1
leukemia,radiation,III,1706.0,47.0,academic,1
renal,hormone_therapy,I,1254.0,32.0,industry,0
pancreatic,immunotherapy,I,321.0,44.0,academic,0
bladder,radiation,II,1129.0,88.0,academic,0
lung,immunotherapy,III,1440.0,30.0,industry,1
pancreatic,hormone_therapy,III,1296.0,43.0,industry,0
melanoma,targeted_therapy,I,552.0,90.0,industry,1
renal,immunotherapy,III,788.0,29.0,industry,1
bladder,chemotherapy,IV,1934.0,29.0,government,1
lung,chemotherapy,II,1958.0,65.0,industry,0
prostate,radiation,III,1424.0,88.0,academic,1
bladder,hormone_therapy,I,463.0,55.0,academic,1
prostate,radiation,IV,1076.0,116.0,industry,1
renal,radiation,III,279.0,71.0,academic,1
colorectal,combination,IV,1277.0,19.0,industry,1
bladder,radiation,III,1558.0,58.0,industry,1
breast,combination,II,1902.0,37.0,industry,1
prostate,chemotherapy,IV,1351.0,111.0,industry,1
melanoma,chemotherapy,II,758.0,101.0,industry,1
breast,radiation,II,815.0,97.0,industry,0
ovarian,chemotherapy,III,89.0,53.0,industry,1
ovarian,hormone_therapy,III,1497.0,44.0,industry,1
lung,combination,IV,1482.0,45.0,government,1
colorectal,combination,II,1868.0,47.0,industry,1
renal,radiation,III,1407.0,116.0,academic,1
bladder,chemotherapy,III,1002.0,109.0,industry,1
leukemia,immunotherapy,I,1809.0,82.0,academic,1
melanoma,combination,II,500.0,81.0,industry,1
prostate,radiation,II,1187.0,13.0,government,0
renal,radiation,II,43.0,84.0,industry,0
breast,hormone_therapy,IV,984.0,31.0,academic,1
ovarian,targeted_therapy,III,1468.0,17.0,industry,1
melanoma,targeted_therapy,III,765.0,48.0,industry,1
leukemia,combination,IV,864.0,56.0,academic,1
bladder,hormone_therapy,II,1218.0,115.0,industry,0
lung,hormone_therapy,III,1887.0,96.0,industry,1
leukemia,hormone_therapy,II,344.0,87.0,industry,1
melanoma,combination,III,1912.0,114.0,academic,1
leukemia,targeted_therapy,II,1714.0,105.0,government,1
melanoma,hormone_therapy,IV,1903.0,68.0,industry,1
melanoma,chemotherapy,II,1391.0,54.0,academic,1
pancreatic,radiation,II,817.0,32.0,industry,0
prostate,radiation,III,37.0,14.0,industry,1
ovarian,immunotherapy,II,63.0,44.0,government,0
pancreatic,immunotherapy,III,174.0,70.0,government,0
bladder,combination,II,886.0,76.0,academic,1
pancreatic,combination,III,941.0,95.0,industry,1
colorectal,radiation,II,1420.0,76.0,industry,1
colorectal,chemotherapy,I,762.0,12.0,industry,0
ovarian,targeted_therapy,II,1926.0,77.0,industry,1
leukemia,targeted_therapy,II,1871.0,85.0,industry,1
prostate,combination,II,1445.0,72.0,academic,1
ovarian,chemotherapy,II,244.0,114.0,government,0
melanoma,combination,II,236.0,15.0,industry,1
breast,targeted_therapy,I,1611.0,119.0,industry,1
prostate,combination,III,50.0,76.0,government,1
prostate,hormone_therapy,III,1912.0,90.0,industry,1
melanoma,combination,II,1102.0,58.0,academic,1
melanoma,radiation,III,1935.0,106.0,industry,1
lung,combination,III,917.0,100.0,industry,1
ovarian,radiation,II,1396.0,92.0,government,0
melanoma,chemotherapy,III,954.0,62.0,industry,1
colorectal,targeted_therapy,II,464.0,96.0,industry,1
bladder,immunotherapy,III,1278.0,91.0,industry,1
breast,immunotherapy,I,1150.0,108.0,government,1
ovarian,targeted_therapy,III,1234.0,32.0,government,1
renal,immunotherapy,III,549.0,59.0,industry,1
colorectal,combination,I,1956.0,118.0,industry,1
leukemia,chemotherapy,II,757.0,9.0,academic,0
melanoma,chemotherapy,IV,1722.0,93.0,industry,1
renal,targeted_therapy,II,1626.0,28.0,academic,1
melanoma,immunotherapy,III,893.0,53.0,industry,1
prostate,combination,IV,585.0,88.0,industry,1
colorectal,chemotherapy,III,1288.0,47.0,academic,1
prostate,chemotherapy,III,1905.0,8.0,industry,1
lung,hormone_therapy,III,95.0,96.0,government,0
prostate,hormone_therapy,III,566.0,8.0,industry,1
lung,chemotherapy,II,286.0,33.0,industry,0
lung,targeted_therapy,II,336.0,68.0,government,0
renal,radiation,II,1855.0,86.0,industry,1
melanoma,radiation,IV,1164.0,36.0,academic,0
leukemia,combination,III,1879.0,15.0,industry,1
prostate,chemotherapy,I,44.0,54.0,academic,0
colorectal,chemotherapy,III,1475.0,91.0,academic,1
lung,chemotherapy,II,179.0,99.0,industry,0
melanoma,targeted_therapy,I,615.0,118.0,academic,0
breast,hormone_therapy,III,1157.0,26.0,academic,1
ovarian,chemotherapy,II,1778.0,105.0,industry,1
renal,chemotherapy,III,919.0,58.0,academic,1
leukemia,immunotherapy,II,521.0,92.0,academic,1
pancreatic,targeted_therapy,III,1209.0,107.0,industry,1
renal,combination,III,1032.0,81.0,industry,1
breast,chemotherapy,I,722.0,94.0,industry,0
ovarian,immunotherapy,IV,1218.0,59.0,industry,1
breast,radiation,III,20.0,62.0,academic,1
prostate,combination,II,1942.0,25.0,industry,1
lung,chemotherapy,II,760.0,118.0,government,1
leukemia,chemotherapy,III,1129.0,54.0,industry,0
bladder,immunotherapy,II,1617.0,111.0,industry,1
lung,targeted_therapy,II,339.0,12.0,academic,0
bladder,chemotherapy,I,1444.0,34.0,industry,1
ovarian,radiation,II,401.0,53.0,industry,1
melanoma,chemotherapy,III,1761.0,98.0,industry,1
pancreatic,radiation,II,1660.0,18.0,industry,0
colorectal,combination,II,1361.0,8.0,industry,1
lung,combination,II,1846.0,7.0,government,0
leukemia,hormone_therapy,II,1293.0,21.0,industry,1
breast,hormone_therapy,IV,1568.0,99.0,government,1
leukemia,radiation,II,1718.0,107.0,academic,0
ovarian,targeted_therapy,IV,1598.0,11.0,industry,1
bladder,chemotherapy,II,917.0,50.0,industry,0
breast,chemotherapy,II,1995.0,76.0,academic,1
colorectal,hormone_therapy,III,1666.0,10.0,government,1
colorectal,radiation,II,736.0,61.0,industry,0
lung,chemotherapy,III,1939.0,76.0,industry,1
ovarian,chemotherapy,IV,1299.0,103.0,industry,0
melanoma,targeted_therapy,I,326.0,37.0,industry,1
ovarian,immunotherapy,I,1993.0,54.0,academic,1
bladder,hormone_therapy,III,1187.0,18.0,government,1
leukemia,hormone_therapy,II,1701.0,35.0,industry,1
colorectal,immunotherapy,II,410.0,30.0,academic,1
leukemia,chemotherapy,I,1856.0,90.0,academic,1
leukemia,targeted_therapy,I,1719.0,65.0,industry,1
leukemia,targeted_therapy,III,1212.0,64.0,industry,1
colorectal,hormone_therapy,I,1009.0,90.0,academic,0
renal,targeted_therapy,II,317.0,33.0,government,1
prostate,combination,III,252.0,117.0,academic,0
bladder,immunotherapy,II,1946.0,63.0,industry,1
renal,chemotherapy,I,290.0,25.0,industry,0
bladder,combination,III,1103.0,39.0,industry,1
breast,immunotherapy,I,1339.0,10.0,academic,1
ovarian,radiation,III,1510.0,87.0,academic,0
ovarian,hormone_therapy,III,1278.0,65.0,industry,1
pancreatic,targeted_therapy,II,696.0,108.0,academic,0
ovarian,radiation,III,725.0,48.0,academic,1
colorectal,targeted_therapy,II,253.0,62.0,academic,0
melanoma,combination,II,1411.0,62.0,government,1
lung,chemotherapy,III,1738.0,80.0,industry,0
pancreatic,chemotherapy,III,864.0,59.0,government,0
lung,chemotherapy,II,1275.0,86.0,industry,0
bladder,targeted_therapy,III,1916.0,117.0,industry,1
lung,radiation,IV,510.0,50.0,government,0
lung,chemotherapy,IV,1662.0,91.0,government,0
pancreatic,radiation,III,522.0,42.0,industry,0
breast,targeted_therapy,II,909.0,89.0,academic,1
leukemia,combination,II,1778.0,53.0,academic,1
ovarian,radiation,IV,611.0,59.0,academic,0
ovarian,combination,I,765.0,53.0,industry,0
colorectal,targeted_therapy,III,1424.0,117.0,academic,1
pancreatic,targeted_therapy,II,1739.0,115.0,industry,0
colorectal,hormone_therapy,II,447.0,11.0,industry,0
melanoma,targeted_therapy,II,716.0,39.0,industry,1
melanoma,targeted_therapy,IV,665.0,68.0,industry,1
colorectal,immunotherapy,I,751.0,83.0,government,0
pancreatic,chemotherapy,III,819.0,53.0,industry,1
colorectal,hormone_therapy,I,383.0,28.0,government,0
ovarian,hormone_therapy,II,221.0,89.0,industry,1
renal,hormone_therapy,II,901.0,18.0,academic,1
prostate,immunotherapy,III,165.0,52.0,academic,1
lung,combination,II,855.0,49.0,academic,0
prostate,targeted_therapy,II,658.0,110.0,academic,1
pancreatic,chemotherapy,I,1500.0,37.0,academic,0
prostate,radiation,II,154.0,31.0,government,0
melanoma,combination,IV,645.0,119.0,academic,1
bladder,targeted_therapy,IV,1307.0,58.0,industry,1
lung,immunotherapy,II,83.0,19.0,academic,0
leukemia,targeted_therapy,III,510.0,57.0,industry,1
pancreatic,targeted_therapy,IV,1690.0,41.0,industry,0
lung,immunotherapy,I,60.0,13.0,government,0
prostate,hormone_therapy,III,1339.0,45.0,industry,1
melanoma,hormone_therapy,IV,1046.0,91.0,academic,1
breast,chemotherapy,I,932.0,27.0,industry,0
renal,chemotherapy,II,1749.0,21.0,industry,1
leukemia,hormone_therapy,IV,994.0,96.0,industry,1
renal,combination,III,1153.0,65.0,industry,1
lung,radiation,I,1264.0,65.0,academic,0
melanoma,targeted_therapy,II,1413.0,15.0,industry,1
melanoma,radiation,II,387.0,30.0,industry,1
prostate,targeted_therapy,III,1479.0,36.0,industry,1
ovarian,hormone_therapy,III,937.0,26.0,industry,1
prostate,chemotherapy,IV,1047.0,96.0,academic,1
ovarian,combination,II,263.0,86.0,industry,1
ovarian,chemotherapy,III,921.0,38.0,academic,1
leukemia,radiation,III,185.0,36.0,government,0
prostate,chemotherapy,II,1069.0,119.0,academic,1
breast,hormone_therapy,II,1438.0,111.0,academic,1
colorectal,combination,IV,1517.0,95.0,industry,1
colorectal,radiation,III,1060.0,26.0,industry,0
prostate,combination,II,747.0,41.0,government,1
prostate,targeted_therapy,III,1135.0,70.0,academic,1
renal,chemotherapy,II,502.0,9.0,academic,0
leukemia,combination,III,562.0,73.0,academic,1
prostate,immunotherapy,III,1248.0,95.0,industry,1
renal,chemotherapy,III,1545.0,9.0,industry,0
ovarian,targeted_therapy,IV,950.0,118.0,academic,1
melanoma,combination,III,419.0,14.0,academic,0
melanoma,radiation,II,1250.0,35.0,industry,1
ovarian,targeted_therapy,III,638.0,50.0,government,1
pancreatic,immunotherapy,II,1189.0,9.0,industry,0
renal,combination,II,898.0,74.0,industry,1
renal,hormone_therapy,II,120.0,114.0,government,0
ovarian,chemotherapy,II,899.0,28.0,academic,0
breast,radiation,III,849.0,21.0,industry,1
bladder,hormone_therapy,II,1923.0,27.0,industry,1
lung,combination,III,1284.0,106.0,industry,1
ovarian,combination,III,1966.0,77.0,academic,1
prostate,targeted_therapy,II,778.0,53.0,industry,1
prostate,combination,III,182.0,67.0,academic,1
leukemia,radiation,II,1927.0,102.0,government,0
ovarian,hormone_therapy,II,1216.0,65.0,academic,1
leukemia,radiation,III,521.0,107.0,industry,1
ovarian,immunotherapy,II,566.0,112.0,academic,1
renal,immunotherapy,I,1327.0,85.0,industry,1
lung,chemotherapy,III,1402.0,10.0,industry,0
renal,chemotherapy,III,400.0,85.0,industry,1
bladder,immunotherapy,II,889.0,12.0,industry,1
melanoma,combination,IV,924.0,56.0,government,1
colorectal,radiation,III,1954.0,70.0,industry,1
ovarian,immunotherapy,III,1576.0,14.0,industry,1
bladder,chemotherapy,I,1863.0,87.0,government,0
melanoma,immunotherapy,III,1206.0,50.0,industry,1
pancreatic,combination,III,1021.0,52.0,academic,0
lung,immunotherapy,III,628.0,72.0,industry,1
leukemia,radiation,III,326.0,29.0,industry,1
leukemia,hormone_therapy,II,1382.0,97.0,government,0
renal,combination,I,74.0,15.0,industry,0
prostate,chemotherapy,II,1002.0,78.0,academic,0
melanoma,radiation,II,352.0,82.0,industry,1
pancreatic,immunotherapy,III,146.0,53.0,industry,1
bladder,immunotherapy,II,1983.0,40.0,industry,1
lung,hormone_therapy,IV,724.0,59.0,industry,1
melanoma,chemotherapy,IV,262.0,92.0,industry,1
pancreatic,chemotherapy,II,1904.0,116.0,academic,0
colorectal,targeted_therapy,II,619.0,86.0,industry,1
ovarian,chemotherapy,III,1891.0,115.0,industry,0
leukemia,hormone_therapy,IV,1452.0,76.0,industry,1
bladder,targeted_therapy,II,522.0,21.0,government,1
leukemia,targeted_therapy,II,1770.0,58.0,government,1
bladder,immunotherapy,III,623.0,45.0,academic,1
renal,immunotherapy,III,322.0,105.0,government,1
prostate,chemotherapy,II,1507.0,25.0,industry,1
bladder,targeted_therapy,III,254.0,93.0,industry,1
leukemia,immunotherapy,I,1739.0,116.0,academic,0
renal,hormone_therapy,I,1081.0,74.0,academic,0
bladder,immunotherapy,II,158.0,50.0,industry,1
colorectal,combination,II,214.0,11.0,industry,1
prostate,combination,II,1570.0,97.0,government,1
bladder,immunotherapy,II,1812.0,74.0,academic,0
renal,targeted_therapy,II,666.0,54.0,industry,1
melanoma,targeted_therapy,II,20.0,44.0,academic,1
breast,radiation,II,580.0,107.0,industry,1
pancreatic,combination,IV,1139.0,7.0,industry,0
breast,hormone_therapy,II,732.0,112.0,industry,1
breast,targeted_therapy,II,432.0,44.0,industry,1
lung,chemotherapy,III,557.0,26.0,industry,0
colorectal,combination,IV,1898.0,45.0,academic,1
melanoma,hormone_therapy,II,448.0,106.0,industry,0
ovarian,hormone_therapy,III,254.0,87.0,academic,1
bladder,targeted_therapy,III,368.0,59.0,industry,1
pancreatic,hormone_therapy,III,1799.0,117.0,industry,1
prostate,targeted_therapy,I,1913.0,115.0,government,1
melanoma,immunotherapy,III,1524.0,17.0,academic,1
leukemia,combination,I,1882.0,86.0,government,0
ovarian,radiation,III,415.0,42.0,government,1
lung,immunotherapy,III,1394.0,115.0,industry,1
lung,combination,II,435.0,43.0,industry,1
melanoma,targeted_therapy,III,1929.0,20.0,government,1
renal,combination,I,935.0,12.0,government,0
breast,targeted_therapy,III,1930.0,83.0,academic,1
leukemia,immunotherapy,II,1094.0,55.0,academic,1
lung,chemotherapy,II,100.0,70.0,academic,1
pancreatic,chemotherapy,I,55.0,107.0,industry,0
lung,combination,IV,1110.0,72.0,academic,1
prostate,chemotherapy,I,660.0,106.0,academic,0
bladder,targeted_therapy,II,901.0,49.0,academic,1
lung,hormone_therapy,II,1710.0,36.0,industry,0
prostate,targeted_therapy,III,776.0,48.0,industry,1
